Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000012,2.900113105773926,0.000129,30.91747789796196,0.000135,32.5,0.000276
0.000024,2.900113105773926,0.000215,20.704791667971463,0.000271,32.5,0.000510
0.000036,2.900113105773926,0.000300,20.46286920821781,0.000406,32.5,0.000743
0.000048,2.900113105773926,0.000404,24.81344274841261,0.000542,32.5,0.000994
0.000060,2.900113105773926,0.000490,20.602042486076474,0.000677,32.5,0.001227
0.000072,2.900113105773926,0.000575,20.618756720316846,0.000813,32.5,0.001461
0.000085,2.900113105773926,0.000662,20.787789802857876,0.000948,32.5,0.001695
0.000097,2.900113105773926,0.000761,23.832558074399966,0.001083,32.5,0.001941
0.000109,2.900113105773926,0.000848,20.76992073906959,0.001219,32.5,0.002176
0.000121,2.900113105773926,0.000934,20.681538741438796,0.001354,32.5,0.002409
0.000133,2.900113105773926,0.001020,20.596982331433814,0.001490,32.5,0.002642
0.000145,2.900113105773926,0.001106,20.690731515966824,0.001625,32.5,0.002876
0.000157,2.900113105773926,0.001193,20.83622005306229,0.001761,32.5,0.003110
0.000169,2.900113105773926,0.001279,20.750395640711954,0.001896,32.5,0.003344
0.000181,2.900113105773926,0.001366,20.739531123742832,0.002031,32.5,0.003578
0.000193,2.900113105773926,0.001453,20.84991571355966,0.002167,32.5,0.003813
0.000205,2.900113105773926,0.001540,21.01144743345326,0.002302,32.5,0.004048
0.000217,2.900113105773926,0.001650,26.34045685439205,0.002438,32.5,0.004305
0.000230,2.900113105773926,0.001738,21.143947239477,0.002573,32.5,0.004541
0.000242,2.900113105773926,0.001824,20.6207897367644,0.002708,32.5,0.004774
0.000254,2.900113105773926,0.001906,19.77453544261958,0.002844,32.5,0.005004
0.000266,2.900113105773926,0.001989,19.93669421771363,0.002979,32.5,0.005234
0.000278,2.900113105773926,0.002072,19.850729908653733,0.003115,32.5,0.005465
0.000290,2.900113105773926,0.002155,19.86732256583048,0.003250,32.5,0.005695
0.000302,2.900113105773926,0.002238,19.86475336546522,0.003386,32.5,0.005925
0.000314,2.900113105773926,0.002320,19.73657024756731,0.003521,32.5,0.006155
0.000326,2.900113105773926,0.002403,19.969459155323406,0.003656,32.5,0.006386
0.000338,2.900113105773926,0.002486,19.93702665346102,0.003792,32.5,0.006616
0.000350,2.900113105773926,0.002568,19.798425970282754,0.003927,32.5,0.006846
0.000362,2.900113105773926,0.002651,19.858293619127394,0.004063,32.5,0.007076
0.000375,2.900113105773926,0.002734,19.95896772251712,0.004198,32.5,0.007307
