Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000024,5.753634452819825,0.000470,112.62711408129961,0.000136,32.5,0.000630
0.000048,5.753634452819825,0.001098,150.91577011002914,0.000271,32.5,0.001417
0.000072,5.753634452819825,0.001749,156.20838042381047,0.000407,32.5,0.002228
0.000096,5.753634452819825,0.002460,170.50281065868464,0.000542,32.5,0.003098
0.000120,5.753634452819825,0.003188,174.50422846841667,0.000678,32.5,0.003985
0.000144,5.753634452819825,0.003912,173.70581598966322,0.000813,32.5,0.004868
0.000168,5.753634452819825,0.004627,171.39616758987788,0.000949,32.5,0.005743
0.000192,5.753634452819825,0.005351,173.89869151207594,0.001084,32.5,0.006627
0.000216,5.753634452819825,0.006089,176.9621542659817,0.001219,32.5,0.007524
0.000240,5.753634452819825,0.006832,178.3246599190449,0.001355,32.5,0.008427
0.000264,5.753634452819825,0.007578,179.02021803803635,0.001490,32.5,0.009332
0.000288,5.753634452819825,0.008317,177.33678310883462,0.001626,32.5,0.010230
0.000312,5.753634452819825,0.009054,176.84543414940563,0.001761,32.5,0.011127
0.000336,5.753634452819825,0.009791,176.74792702072685,0.001897,32.5,0.012024
0.000360,5.753634452819825,0.010518,174.3705756604399,0.002032,32.5,0.012910
0.000384,5.753634452819825,0.011233,171.3249660013424,0.002168,32.5,0.013784
0.000408,5.753634452819825,0.011936,168.726674224522,0.002303,32.5,0.014647
0.000433,5.753634452819825,0.012623,154.41911012319224,0.002448,32.5,0.015505
0.000457,5.753634452819825,0.013313,165.3561545358047,0.002584,32.5,0.016354
0.000481,5.753634452819825,0.013990,162.48923710797413,0.002719,32.5,0.017190
0.000505,5.753634452819825,0.014658,160.28746153073965,0.002855,32.5,0.018018
0.000529,5.753634452819825,0.015356,167.33157409438056,0.002990,32.5,0.018875
0.000553,5.753634452819825,0.016080,173.7050880004639,0.003126,32.5,0.019758
0.000577,5.753634452819825,0.016808,174.76409725001068,0.003261,32.5,0.020647
0.000601,5.753634452819825,0.017544,176.482964303274,0.003397,32.5,0.021542
0.000625,5.753634452819825,0.018276,175.5327157408467,0.003532,32.5,0.022433
0.000649,5.753634452819825,0.019001,174.02565182816758,0.003668,32.5,0.023318
0.000673,5.753634452819825,0.019733,175.53118759246462,0.003803,32.5,0.024209
0.000697,5.753634452819825,0.020464,175.5949590565091,0.003938,32.5,0.025100
0.000721,5.753634452819825,0.021191,174.39088601106693,0.004074,32.5,0.025986
0.000745,5.753634452819825,0.021919,174.61349366389226,0.004209,32.5,0.026873
0.000769,5.753634452819825,0.022642,173.37695199707377,0.004345,32.5,0.027756
0.000793,5.753634452819825,0.023362,172.9355380849313,0.004480,32.5,0.028636
0.000817,5.753634452819825,0.024090,174.32717407415433,0.004616,32.5,0.029523
0.000841,5.753634452819825,0.024808,172.16448794760387,0.004752,32.5,0.030400
0.000865,5.753634452819825,0.025538,175.04278305633895,0.004887,32.5,0.031290
0.000889,5.753634452819825,0.026264,174.29534700250045,0.005023,32.5,0.032176
0.000913,5.753634452819825,0.026989,173.7683418326425,0.005158,32.5,0.033060
0.000937,5.753634452819825,0.027714,174.04626780461035,0.005294,32.5,0.033944
0.000961,5.753634452819825,0.028433,172.52171811208487,0.005429,32.5,0.034823
0.000985,5.753634452819825,0.029157,173.77753608651835,0.005564,32.5,0.035707
0.001009,5.753634452819825,0.029881,173.50123084442856,0.005700,32.5,0.036590
0.001033,5.753634452819825,0.030610,174.94733088606273,0.005836,32.5,0.037479
0.001057,5.753634452819825,0.031336,174.0973439959491,0.005971,32.5,0.038364
0.001081,5.753634452819825,0.032058,173.01752115027637,0.006107,32.5,0.039245
0.001105,5.753634452819825,0.032782,173.75827873485065,0.006242,32.5,0.040129
0.001110,5.753634452819825,0.032946,174.48366500963414,0.006273,32.5,0.040329
