Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000024,5.753634452819825,0.000448,107.40502059786533,0.000136,32.5,0.000607
0.000048,5.753634452819825,0.001015,136.07768521774764,0.000271,32.5,0.001334
0.000072,5.753634452819825,0.001622,145.55766125019352,0.000407,32.5,0.002100
0.000096,5.753634452819825,0.002261,153.475801298666,0.000542,32.5,0.002899
0.000120,5.753634452819825,0.002923,158.7842376143268,0.000678,32.5,0.003721
0.000144,5.753634452819825,0.003601,162.38895865941095,0.000813,32.5,0.004557
0.000168,5.753634452819825,0.004278,162.53658153639807,0.000948,32.5,0.005394
0.000192,5.753634452819825,0.004968,165.546704753242,0.001084,32.5,0.006244
0.000216,5.753634452819825,0.005696,174.53409327247377,0.001219,32.5,0.007131
0.000240,5.753634452819825,0.006435,177.3811284992051,0.001355,32.5,0.008030
0.000264,5.753634452819825,0.007188,180.58521803766482,0.001490,32.5,0.008942
0.000288,5.753634452819825,0.007945,181.80930888445695,0.001626,32.5,0.009859
0.000312,5.753634452819825,0.008687,178.0174099780869,0.001761,32.5,0.010760
0.000336,5.753634452819825,0.009417,175.1985672945726,0.001897,32.5,0.011650
0.000360,5.753634452819825,0.010146,174.77349498009627,0.002032,32.5,0.012538
0.000384,5.753634452819825,0.010877,175.41127605949572,0.002168,32.5,0.013429
0.000408,5.753634452819825,0.011605,174.58673205223,0.002303,32.5,0.014316
0.000432,5.753634452819825,0.012329,173.85278549981822,0.002439,32.5,0.015200
0.000456,5.753634452819825,0.013056,174.4153677068362,0.002574,32.5,0.016086
0.000480,5.753634452819825,0.013783,174.3996844324095,0.002710,32.5,0.016972
0.000504,5.753634452819825,0.014506,173.23161084586658,0.002845,32.5,0.017854
0.000528,5.753634452819825,0.015228,173.43782391479826,0.002981,32.5,0.018736
0.000552,5.753634452819825,0.015947,172.42160913841397,0.003116,32.5,0.019615
0.000576,5.753634452819825,0.016674,174.321881851329,0.003252,32.5,0.020501
0.000600,5.753634452819825,0.017398,173.65312524455294,0.003387,32.5,0.021385
0.000624,5.753634452819825,0.018120,173.2381720125975,0.003523,32.5,0.022267
0.000648,5.753634452819825,0.018847,174.2808739066219,0.003658,32.5,0.023153
0.000672,5.753634452819825,0.019574,174.48509562212732,0.003794,32.5,0.024039
0.000695,5.753634452819825,0.020299,173.84870911470014,0.003929,32.5,0.024923
0.000719,5.753634452819825,0.021025,174.3736816548451,0.004065,32.5,0.025809
0.000743,5.753634452819825,0.021751,173.92214989400205,0.004200,32.5,0.026694
0.000767,5.753634452819825,0.022484,175.69481811266647,0.004336,32.5,0.027587
0.000791,5.753634452819825,0.023207,173.56910828018417,0.004471,32.5,0.028470
0.000815,5.753634452819825,0.023932,173.94121446399154,0.004607,32.5,0.029354
0.000839,5.753634452819825,0.024659,174.30257623559478,0.004742,32.5,0.030240
0.000863,5.753634452819825,0.025384,174.01187696433917,0.004878,32.5,0.031125
0.000887,5.753634452819825,0.026111,174.33378598271372,0.005013,32.5,0.032011
0.000911,5.753634452819825,0.026840,174.94946188371003,0.005149,32.5,0.032900
0.000940,5.753634452819825,0.027568,146.91942884506156,0.005310,32.5,0.033818
0.000964,5.753634452819825,0.028300,175.65843971612563,0.005445,32.5,0.034709
0.000988,5.753634452819825,0.029047,179.19547273429046,0.005581,32.5,0.035615
0.001012,5.753634452819825,0.029795,179.52938241799944,0.005716,32.5,0.036523
0.001036,5.753634452819825,0.030543,179.37020781415657,0.005852,32.5,0.037430
0.001060,5.753634452819825,0.031291,179.46309176547388,0.005987,32.5,0.038338
0.001084,5.753634452819825,0.032038,179.1408884107258,0.006123,32.5,0.039244
0.001108,5.753634452819825,0.032784,179.0735344359299,0.006258,32.5,0.040150
0.001132,5.753634452819825,0.033530,179.03050586593335,0.006394,32.5,0.041055
0.001156,5.753634452819825,0.034276,179.0261674335257,0.006529,32.5,0.041961
0.001180,5.753634452819825,0.035020,178.54112120835663,0.006664,32.5,0.042864
0.001204,5.753634452819825,0.035764,178.6344118409985,0.006800,32.5,0.043768
0.001228,5.753634452819825,0.036506,177.809751933891,0.006935,32.5,0.044669
0.001252,5.753634452819825,0.037248,177.93071616709807,0.007071,32.5,0.045570
0.001276,5.753634452819825,0.037989,177.89274523817852,0.007206,32.5,0.046471
0.001300,5.753634452819825,0.038731,177.99309460333984,0.007342,32.5,0.047372
0.001324,5.753634452819825,0.039477,178.84263212076524,0.007477,32.5,0.048278
0.001348,5.753634452819825,0.040224,179.2732095167457,0.007613,32.5,0.049184
0.001372,5.753634452819825,0.040973,179.6253729201222,0.007748,32.5,0.050093
0.001396,5.753634452819825,0.041718,178.77914292022527,0.007884,32.5,0.050998
0.001420,5.753634452819825,0.042463,178.5825175987056,0.008019,32.5,0.051902
0.001443,5.753634452819825,0.043209,178.8814974994921,0.008155,32.5,0.052807
0.001467,5.753634452819825,0.043954,178.8408750650699,0.008290,32.5,0.053712
0.001491,5.753634452819825,0.044700,178.87628669843022,0.008426,32.5,0.054617
0.001515,5.753634452819825,0.045445,178.71443238827118,0.008561,32.5,0.055522
0.001539,5.753634452819825,0.046197,180.35542552292847,0.008697,32.5,0.056433
0.001563,5.753634452819825,0.046941,178.6729746678028,0.008832,32.5,0.057337
0.001587,5.753634452819825,0.047689,179.4917449580811,0.008968,32.5,0.058244
0.001611,5.753634452819825,0.048435,178.7900462853288,0.009103,32.5,0.059149
0.001635,5.753634452819825,0.049179,178.54283382468864,0.009239,32.5,0.060053
0.001659,5.753634452819825,0.049924,178.76684242472206,0.009374,32.5,0.060958
0.001683,5.753634452819825,0.050668,178.3137058360265,0.009510,32.5,0.061861
0.001707,5.753634452819825,0.051415,179.25439589923062,0.009645,32.5,0.062768
0.001731,5.753634452819825,0.052160,178.62012484669486,0.009781,32.5,0.063672
0.001755,5.753634452819825,0.052906,178.95132283444988,0.009916,32.5,0.064577
0.001779,5.753634452819825,0.053650,178.30810392472782,0.010052,32.5,0.065481
0.001803,5.753634452819825,0.054395,178.99732444952278,0.010187,32.5,0.066386
0.001827,5.753634452819825,0.055120,173.85041186505822,0.010323,32.5,0.067270
0.001851,5.753634452819825,0.055864,178.63510103763224,0.010458,32.5,0.068174
0.001875,5.753634452819825,0.056610,178.71539023570315,0.010594,32.5,0.069079
0.001899,5.753634452819825,0.057360,180.0070057670211,0.010729,32.5,0.069989
0.001923,5.753634452819825,0.058109,179.71491853008865,0.010865,32.5,0.070897
0.001947,5.753634452819825,0.058858,179.65322271711324,0.011000,32.5,0.071805
0.001971,5.753634452819825,0.059605,179.34814550994756,0.011136,32.5,0.072712
0.001995,5.753634452819825,0.060352,179.19118014143305,0.011271,32.5,0.073618
0.002019,5.753634452819825,0.061101,179.5643926316032,0.011407,32.5,0.074527
0.002043,5.753634452819825,0.061847,179.0386874700755,0.011542,32.5,0.075432
0.002067,5.753634452819825,0.062594,179.09666475826148,0.011678,32.5,0.076339
0.002091,5.753634452819825,0.063345,180.1932845770132,0.011813,32.5,0.077250
0.002115,5.753634452819825,0.064095,179.98060866062565,0.011949,32.5,0.078159
0.002139,5.753634452819825,0.064842,179.18186355850168,0.012084,32.5,0.079066
0.002163,5.753634452819825,0.065589,179.00258895633579,0.012220,32.5,0.079972
0.002187,5.753634452819825,0.066337,179.52487714747855,0.012355,32.5,0.080880
0.002193,5.753634452819825,0.066537,180.25110054683924,0.012391,32.5,0.081121
