Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000013,3.0,0.000030,5.973600000000001,0.000003,0.7605999999999999,0.000046
0.000020,3.0,0.000050,6.0723,0.000004,0.34119999999999995,0.000074
0.000027,3.0,0.000070,6.0773,0.000005,0.5695,0.000103
0.000034,3.0,0.000090,6.106599999999999,0.000006,0.44419999999999993,0.000131
0.000042,3.0,0.000110,5.793100000000001,0.000008,0.5237999999999999,0.000159
0.000049,3.0,0.000130,6.112,0.000009,0.3943,0.000187
0.000056,3.0,0.000150,6.110100000000001,0.000010,0.6422,0.000217
0.000064,3.0,0.000170,6.1072,0.000012,0.732,0.000246
0.000071,3.0,0.000190,6.1227,0.000013,0.5271999999999999,0.000275
0.000078,3.0,0.000211,6.125300000000001,0.000014,0.20989999999999998,0.000303
0.000086,3.0,0.000231,6.1732000000000005,0.000015,0.312,0.000331
0.000093,3.0,0.000252,6.2151,0.000016,0.3887,0.000360
0.000100,3.0,0.000272,6.2249,0.000018,1.1145,0.000391
0.000108,3.0,0.000291,5.8297,0.000020,0.5223,0.000419
0.000115,3.0,0.000312,6.2145,0.000021,0.3796,0.000448
0.000122,3.0,0.000332,6.1552999999999995,0.000021,0.3453,0.000476
0.000130,3.0,0.000353,6.315300000000001,0.000037,6.3576,0.000520
0.000137,3.0,0.000373,6.059700000000001,0.000044,2.8654,0.000554
0.000144,3.0,0.000393,5.9066,0.000045,0.36869999999999997,0.000582
0.000151,3.0,0.000413,6.0656,0.000048,1.216,0.000612
0.000159,3.0,0.000433,6.230700000000001,0.000049,0.4171000000000001,0.000640
0.000166,3.0,0.000453,6.1964,0.000050,0.4375,0.000669
0.000173,3.0,0.000474,6.240399999999999,0.000054,1.5449000000000002,0.000701
0.000181,3.0,0.000494,5.8852,0.000054,0.2448,0.000728
0.000188,3.0,0.000514,6.2698,0.000056,0.709,0.000758
0.000195,3.0,0.000536,6.3884,0.000074,7.3611,0.000805
0.000202,3.0,0.000556,6.271300000000001,0.000075,0.3562,0.000833
0.000210,3.0,0.000577,6.2437,0.000076,0.36340000000000006,0.000862
0.000217,3.0,0.000597,6.2515,0.000076,0.273,0.000891
0.000225,3.0,0.000618,6.2511,0.000077,0.4019000000000001,0.000920
0.000232,3.0,0.000639,6.2475000000000005,0.000078,0.3126,0.000949
0.000239,3.0,0.000660,6.2591,0.000079,0.30510000000000004,0.000978
0.000247,3.0,0.000679,5.830100000000001,0.000080,0.3189,0.001005
0.000254,3.0,0.000699,6.0836,0.000081,0.38480000000000003,0.001033
0.000261,3.0,0.000719,6.1515,0.000094,5.5958,0.001075
0.000269,3.0,0.000740,6.1659999999999995,0.000097,1.0188000000000001,0.001105
0.000276,3.0,0.000760,6.275799999999999,0.000098,0.3457,0.001134
0.000283,3.0,0.000780,5.8897,0.000098,0.21269999999999997,0.001161
0.000291,3.0,0.000801,6.256399999999999,0.000099,0.32920000000000005,0.001190
0.000298,3.0,0.000821,6.2661999999999995,0.000100,0.3462,0.001219
0.000305,3.0,0.000842,6.2488,0.000101,0.31350000000000006,0.001248
0.000313,3.0,0.000863,6.2292000000000005,0.000101,0.3122,0.001277
0.000320,3.0,0.000882,5.6709000000000005,0.000102,0.16840000000000002,0.001303
0.000327,3.0,0.000902,6.2506,0.000103,0.3232,0.001332
0.000335,3.0,0.000923,6.229100000000002,0.000104,0.38330000000000003,0.001361
0.000342,3.0,0.000944,6.2687,0.000105,0.43470000000000003,0.001390
0.000350,3.0,0.000964,6.0678,0.000106,0.3838000000000001,0.001419
0.000357,3.0,0.000984,6.192699999999999,0.000106,0.34880000000000005,0.001448
0.000364,3.0,0.001005,6.2156,0.000107,0.3484,0.001476
0.000372,3.0,0.001025,6.2334,0.000108,0.33330000000000004,0.001505
0.000379,3.0,0.001046,6.262,0.000109,0.43010000000000004,0.001534
0.000386,3.0,0.001066,5.9220000000000015,0.000110,0.3588,0.001562
0.000394,3.0,0.001087,6.264600000000001,0.000111,0.46190000000000003,0.001591
0.000401,3.0,0.001107,6.212899999999999,0.000112,0.43190000000000006,0.001620
0.000408,3.0,0.001128,6.2031,0.000113,0.3264,0.001649
0.000416,3.0,0.001148,6.2523,0.000115,0.6250000000000001,0.001679
0.000423,3.0,0.001168,5.957000000000001,0.000115,0.3215,0.001706
0.000430,3.0,0.001189,6.2482,0.000116,0.4454999999999999,0.001735
0.000438,3.0,0.001209,6.21,0.000118,0.4614,0.001764
0.000445,3.0,0.001230,6.281700000000001,0.000119,0.45009999999999994,0.001794
0.000452,3.0,0.001251,6.2681000000000004,0.000120,0.42790000000000006,0.001823
0.000460,3.0,0.001272,6.2822000000000005,0.000121,0.5832,0.001852
0.000467,3.0,0.001292,6.2642999999999995,0.000122,0.49240000000000006,0.001882
0.000474,3.0,0.001313,6.2754,0.000123,0.48460000000000003,0.001911
0.000482,3.0,0.001334,6.2162999999999995,0.000125,0.5114000000000001,0.001940
0.000489,3.0,0.001353,5.8845,0.000126,0.32139999999999996,0.001968
0.000496,3.0,0.001374,6.2615,0.000127,0.44399999999999995,0.001997
0.000504,3.0,0.001395,6.3001000000000005,0.000128,0.4436,0.002026
0.000511,3.0,0.001416,6.265600000000001,0.000129,0.44040000000000007,0.002055
0.000518,3.0,0.001436,6.313000000000001,0.000130,0.44530000000000003,0.002085
0.000526,3.0,0.001456,5.891800000000001,0.000131,0.3124,0.002112
0.000533,3.0,0.001477,6.2547000000000015,0.000131,0.3196,0.002141
0.000540,3.0,0.001497,6.1927,0.000132,0.31020000000000003,0.002170
0.000548,3.0,0.001518,6.2662,0.000133,0.3318,0.002199
0.000555,3.0,0.001539,6.2874,0.000134,0.3008,0.002227
0.000562,3.0,0.001559,6.196,0.000134,0.31529999999999997,0.002256
0.000570,3.0,0.001580,6.2780000000000005,0.000135,0.3075,0.002285
0.000577,3.0,0.001601,6.248400000000001,0.000136,0.3526,0.002314
0.000584,3.0,0.001621,6.2797,0.000137,0.37510000000000004,0.002343
0.000592,3.0,0.001641,5.9016,0.000138,0.2612,0.002370
0.000599,3.0,0.001662,6.278600000000001,0.000139,0.44560000000000005,0.002399
0.000606,3.0,0.001682,6.2765,0.000140,0.4655,0.002429
0.000614,3.0,0.001703,6.269,0.000141,0.32110000000000005,0.002457
0.000621,3.0,0.001724,6.2567,0.000141,0.306,0.002486
0.000628,3.0,0.001743,5.8621,0.000142,0.3243,0.002514
0.000636,3.0,0.001764,6.207700000000001,0.000143,0.3508,0.002542
0.000643,3.0,0.001784,6.271299999999999,0.000144,0.3124,0.002571
0.000650,3.0,0.001805,6.2774,0.000145,0.4516,0.002600
0.000658,3.0,0.001826,6.281700000000001,0.000146,0.514,0.002630
0.000665,3.0,0.001847,6.3107999999999995,0.000147,0.4133,0.002659
0.000672,3.0,0.001868,6.2665,0.000148,0.43879999999999997,0.002688
0.000680,3.0,0.001888,6.314699999999999,0.000149,0.45820000000000005,0.002718
0.000687,3.0,0.001909,6.3092999999999995,0.000151,0.4624,0.002747
0.000694,3.0,0.001929,5.901,0.000151,0.36080000000000007,0.002775
0.000702,3.0,0.001950,6.2799,0.000152,0.3074,0.002803
0.000709,3.0,0.001970,6.2948,0.000153,0.41869999999999996,0.002832
0.000716,3.0,0.001991,6.291500000000001,0.000154,0.38249999999999995,0.002862
0.000724,3.0,0.002012,6.2901,0.000155,0.35910000000000003,0.002891
0.000731,3.0,0.002031,5.895099999999999,0.000155,0.19129999999999997,0.002918
0.000738,3.0,0.002052,6.205,0.000156,0.3179,0.002946
0.000746,3.0,0.002073,6.3027,0.000157,0.31229999999999997,0.002975
0.000753,3.0,0.002093,6.2521,0.000158,0.344,0.003004
0.000760,3.0,0.002114,6.2797,0.000159,0.30300000000000005,0.003033
0.000768,3.0,0.002135,6.229799999999999,0.000159,0.2641,0.003062
0.000775,3.0,0.002155,6.2308,0.000160,0.36400000000000005,0.003090
0.000782,3.0,0.002176,6.227,0.000161,0.3125,0.003119
0.000790,3.0,0.002197,6.327400000000001,0.000162,0.3154,0.003148
0.000797,3.0,0.002216,5.894,0.000162,0.30510000000000004,0.003176
0.000804,3.0,0.002237,6.2469,0.000163,0.40140000000000003,0.003204
0.000812,3.0,0.002258,6.2472,0.000164,0.3745,0.003233
0.000819,3.0,0.002278,6.2125,0.000165,0.32050000000000006,0.003262
0.000826,3.0,0.002299,6.2771,0.000166,0.3076,0.003291
0.000833,3.0,0.002318,5.8464,0.000166,0.18920000000000003,0.003318
0.000841,3.0,0.002339,6.236700000000002,0.000167,0.32630000000000003,0.003347
0.000848,3.0,0.002360,6.2872,0.000168,0.32080000000000003,0.003375
0.000855,3.0,0.002380,6.3153000000000015,0.000169,0.3066,0.003404
0.000863,3.0,0.002401,6.273,0.000169,0.3215,0.003433
0.000870,3.0,0.002422,6.286900000000001,0.000170,0.2404,0.003462
0.000877,3.0,0.002443,6.253300000000001,0.000171,0.3362,0.003491
0.000885,3.0,0.002463,6.222900000000001,0.000172,0.32530000000000003,0.003519
0.000892,3.0,0.002484,6.273400000000001,0.000172,0.34290000000000004,0.003548
0.000899,3.0,0.002504,5.9374,0.000173,0.31860000000000005,0.003576
0.000907,3.0,0.002524,6.2382,0.000174,0.3281,0.003605
0.000914,3.0,0.002545,6.265,0.000175,0.32510000000000006,0.003634
0.000921,3.0,0.002565,6.1957,0.000176,0.3278,0.003662
0.000929,3.0,0.002586,6.2543,0.000176,0.35350000000000004,0.003691
0.000936,3.0,0.002606,5.890199999999999,0.000177,0.17250000000000001,0.003718
0.000943,3.0,0.002626,6.280600000000001,0.000178,0.3608,0.003747
0.000951,3.0,0.002647,6.282400000000001,0.000179,0.48080000000000006,0.003777
0.000958,3.0,0.002668,6.3429,0.000180,0.4766,0.003806
0.000965,3.0,0.002689,6.2804,0.000181,0.45000000000000007,0.003835
0.000973,3.0,0.002710,6.3176000000000005,0.000182,0.318,0.003864
0.000980,3.0,0.002730,6.2197,0.000183,0.5242,0.003893
0.000987,3.0,0.002751,6.3332,0.000185,0.526,0.003923
0.000994,3.0,0.002772,6.3176,0.000186,0.4323,0.003952
0.001002,3.0,0.002792,5.9261,0.000187,0.4526,0.003980
0.001009,3.0,0.002812,6.313599999999999,0.000188,0.48109999999999997,0.004009
0.001016,3.0,0.002833,6.3041,0.000189,0.47739999999999994,0.004039
0.001024,3.0,0.002854,6.3044,0.000190,0.48109999999999997,0.004068
0.001031,3.0,0.002875,6.3654,0.000191,0.4165,0.004097
0.001038,3.0,0.002895,6.068499999999999,0.000192,0.36500000000000005,0.004126
0.001046,3.0,0.002916,6.2622,0.000193,0.5144,0.004155
