Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000019,4.485667705535889,0.000802,192.44818624164876,0.000135,32.5,0.000956
0.000037,4.485667705535889,0.001627,197.95286054027468,0.000271,32.5,0.001935
0.000056,4.485667705535889,0.002452,198.12053908973454,0.000406,32.5,0.002915
0.000075,4.485667705535889,0.003277,198.04592804525524,0.000542,32.5,0.003894
0.000093,4.485667705535889,0.004106,198.65777970089172,0.000677,32.5,0.004877
0.000112,4.485667705535889,0.004932,198.22930352678128,0.000813,32.5,0.005857
0.000131,4.485667705535889,0.005753,196.31915268082767,0.000949,32.5,0.006833
0.000150,4.485667705535889,0.006567,195.3036584234947,0.001084,32.5,0.007801
0.000168,4.485667705535889,0.007392,198.17188581638055,0.001220,32.5,0.008780
0.000187,4.485667705535889,0.008223,199.0392475071528,0.001355,32.5,0.009765
0.000206,4.485667705535889,0.009049,198.35066285621315,0.001491,32.5,0.010745
0.000224,4.485667705535889,0.009876,198.54035107697993,0.001626,32.5,0.011727
0.000243,4.485667705535889,0.010703,198.43497598127814,0.001761,32.5,0.012707
0.000262,4.485667705535889,0.011524,197.00473058054973,0.001897,32.5,0.013682
0.000280,4.485667705535889,0.012319,190.88846785007107,0.002032,32.5,0.014632
0.000299,4.485667705535889,0.013128,194.12619085978736,0.002168,32.5,0.015595
0.000318,4.485667705535889,0.013953,198.1502597601577,0.002303,32.5,0.016574
0.000337,4.485667705535889,0.014779,198.08950338707106,0.002438,32.5,0.017554
0.000355,4.485667705535889,0.015604,198.17461623871822,0.002574,32.5,0.018533
0.000374,4.485667705535889,0.016436,198.2762826647746,0.002710,32.5,0.019520
0.000393,4.485667705535889,0.017260,197.80247092737366,0.002846,32.5,0.020498
0.000411,4.485667705535889,0.018091,199.07501648182463,0.002981,32.5,0.021484
0.000430,4.485667705535889,0.018917,198.43713946725887,0.003117,32.5,0.022464
0.000449,4.485667705535889,0.019733,195.67839840021708,0.003252,32.5,0.023434
0.000467,4.485667705535889,0.020559,198.34882996771074,0.003388,32.5,0.024414
0.000486,4.485667705535889,0.021386,198.46151117495958,0.003523,32.5,0.025395
0.000505,4.485667705535889,0.022219,198.76480775374986,0.003659,32.5,0.026383
0.000524,4.485667705535889,0.023044,198.0199349536916,0.003795,32.5,0.027362
0.000542,4.485667705535889,0.023871,198.52147484888462,0.003930,32.5,0.028343
0.000561,4.485667705535889,0.024696,198.0020427267405,0.004065,32.5,0.029322
0.000580,4.485667705535889,0.025522,198.19681528339018,0.004201,32.5,0.030302
0.000598,4.485667705535889,0.026335,195.11499704258114,0.004336,32.5,0.031269
0.000617,4.485667705535889,0.027160,198.21216029392698,0.004472,32.5,0.032249
0.000636,4.485667705535889,0.027992,198.24896299218491,0.004608,32.5,0.033237
0.000655,4.485667705535889,0.028817,197.98208154725404,0.004744,32.5,0.034215
0.000673,4.485667705535889,0.029642,198.03723135631364,0.004879,32.5,0.035195
0.000692,4.485667705535889,0.030469,198.45607219767263,0.005014,32.5,0.036176
0.000711,4.485667705535889,0.031293,197.62616643236845,0.005150,32.5,0.037153
0.000729,4.485667705535889,0.032121,198.9394727215957,0.005285,32.5,0.038136
0.000748,4.485667705535889,0.032931,194.3703753354249,0.005421,32.5,0.039100
0.000767,4.485667705535889,0.033762,199.4567132243053,0.005556,32.5,0.040085
0.000785,4.485667705535889,0.034589,198.43097052875183,0.005692,32.5,0.041066
0.000804,4.485667705535889,0.035412,197.54200818168974,0.005827,32.5,0.042043
0.000823,4.485667705535889,0.036238,198.1359495061597,0.005962,32.5,0.043023
0.000841,4.485667705535889,0.037063,198.05451597788604,0.006098,32.5,0.044002
0.000860,4.485667705535889,0.037888,198.02504827033897,0.006233,32.5,0.044981
0.000879,4.485667705535889,0.038712,197.57887488259107,0.006369,32.5,0.045960
0.000898,4.485667705535889,0.039532,196.11426744823785,0.006505,32.5,0.046934
0.000916,4.485667705535889,0.040355,197.64370397575004,0.006640,32.5,0.047912
0.000935,4.485667705535889,0.041182,198.42574884833323,0.006776,32.5,0.048893
0.000954,4.485667705535889,0.042009,198.47778432630963,0.006911,32.5,0.049874
0.000972,4.485667705535889,0.042842,198.90725938892726,0.007047,32.5,0.050861
