Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000012,2.7869911193847656,0.000618,148.25921293090084,0.000135,32.5,0.000765
0.000012,2.7869911193847656,0.000779,186.98603646780484,0.000135,32.5,0.000926
0.000023,2.7869911193847656,0.001607,198.57755879360846,0.000271,32.5,0.001901
0.000035,2.7869911193847656,0.002427,197.0372458444826,0.000406,32.5,0.002869
0.000046,2.7869911193847656,0.003234,193.67670233248262,0.000542,32.5,0.003822
0.000012,2.7869911193847656,0.000198,47.43456376511033,0.000135,32.5,0.000345
0.000023,2.7869911193847656,0.000381,43.933073270509574,0.000271,32.5,0.000675
0.000035,2.7869911193847656,0.000558,42.57947202766247,0.000406,32.5,0.000999
0.000046,2.7869911193847656,0.000742,44.10343433430324,0.000542,32.5,0.001330
0.000058,2.7869911193847656,0.000921,42.930115317884166,0.000677,32.5,0.001656
0.000070,2.7869911193847656,0.001101,43.31047813818162,0.000813,32.5,0.001983
0.000081,2.7869911193847656,0.001284,43.88008321957636,0.000948,32.5,0.002313
0.000093,2.7869911193847656,0.001461,42.51908883865994,0.001083,32.5,0.002637
0.000105,2.7869911193847656,0.001644,43.82856140522955,0.001219,32.5,0.002967
0.000116,2.7869911193847656,0.001821,42.500088538469925,0.001354,32.5,0.003291
0.000128,2.7869911193847656,0.002003,43.840919279100795,0.001490,32.5,0.003621
0.000139,2.7869911193847656,0.002185,43.50028238434332,0.001625,32.5,0.003949
0.000151,2.7869911193847656,0.002363,42.76457412559364,0.001760,32.5,0.004274
0.000163,2.7869911193847656,0.002553,45.71553507487133,0.001896,32.5,0.004612
0.000174,2.7869911193847656,0.002738,44.34828336803095,0.002031,32.5,0.004944
0.000186,2.7869911193847656,0.002915,42.48063197524136,0.002167,32.5,0.005268
0.000190,2.7869911193847656,0.002986,42.869694047489915,0.002221,32.5,0.005398
